velocity_data_x,velocity_data_y,velocity_data_z
-0.134012,0.4664689999999999,-0.051024
-0.202646,0.543844,-0.040844
-0.202646,0.543844,-0.040844
-0.267686,0.621683,-0.03117
-0.299013,0.660611,-0.0266
-0.329513,0.6993090000000001,-0.022177
-0.359074,0.737451,-0.0179
-0.387509,0.774519,-0.013663
-0.414533,0.809782,-0.009355
-0.439797,0.842406,-0.005043
-0.462959,0.871618,-0.000953
-0.483771,0.8968649999999999,0.002688
-0.502163,0.917954,0.00591
-0.518217,0.934982,0.00873
-0.532127,0.948215,0.011137
-0.544154,0.957989,0.0131349999999999
-0.554578,0.964652,0.014728
-0.5636720000000001,0.968552,0.01593
-0.571688,0.970043,0.016772
-0.578859,0.969513,0.017218
-0.585429,0.967461,0.017349
-0.5916560000000001,0.964507,0.017332
-0.597777,0.961288,0.017234
-0.604002,0.958377,0.0171
-0.610476,0.956235,0.016874
-0.617276,0.955196,0.016515
-0.624409,0.955471,0.016035
-0.6318229999999999,0.957163,0.015356
-0.639426,0.96029,0.014346
-0.647111,0.964805,0.012934
-0.654762,0.970612,0.011071
-0.662271,0.977591,0.008784
-0.669554,0.985611,0.006156
-0.676551,0.994543,0.003292
-0.683225,1.004263,0.000297
-0.689565,1.0146540000000002,-0.002753
-0.695571,1.025606,-0.00588
-0.7012609999999999,1.03702,-0.009112
-0.706663,1.048815,-0.012428
-0.711807,1.060919,-0.015766
-0.716716,1.0732540000000002,-0.019058
-0.721409,1.085742,-0.022224
-0.725901,1.098315,-0.0251729999999999
-0.7302069999999999,1.110915,-0.027813
-0.734341,1.123497,-0.0300839999999999
-0.738319,1.136027,-0.031973
-0.742157,1.148483,-0.033469
-0.745871,1.160853,-0.034577
-0.749475,1.173134,-0.03532
-0.752984,1.185331,-0.035704
-0.756408,1.197457,-0.035723
-0.759758,1.209527,-0.03536
-0.763041,1.221561,-0.034594
-0.76626,1.233578,-0.033402
-0.769417,1.2455969999999998,-0.0317649999999999
-0.77251,1.257635,-0.029679
-0.7755340000000001,1.269703,-0.027194
-0.778485,1.281808,-0.024377
-0.781355,1.293959,-0.02128
-0.784142,1.306159,-0.017943
-0.7868390000000001,1.318412,-0.014397
-0.789445,1.33072,-0.010666
-0.7919579999999999,1.343085,-0.006772
-0.794376,1.355501,-0.002781
-0.7966989999999999,1.3679629999999998,0.001191
-0.798927,1.380462,0.00506
-0.801064,1.392993,0.008777
-0.803111,1.405553,0.012318
-0.805074,1.418137,0.015668
-0.806955,1.43074,0.018791
-0.808757,1.443358,0.021643
-0.810484,1.455985,0.024203
-0.812142,1.468618,0.026463
-0.813733,1.481257,0.028431
-0.815261,1.493898,0.030123
-0.8167260000000001,1.506533,0.0315579999999999
-0.818126,1.519143,0.032755
-0.819456,1.5317,0.033729
-0.821865,1.556492,0.035061
-0.8229190000000001,1.56863,0.035441
-0.8238540000000001,1.5805280000000002,0.035649
-0.8246549999999999,1.592133,0.035715
-0.825299,1.603372,0.035638
-0.8257610000000001,1.614154,0.035411
-0.8260129999999999,1.624381,0.035031
-0.826034,1.633974,0.034492
-0.825808,1.642873,0.033798
-0.825325,1.65105,0.0329649999999999
-0.824584,1.6585,0.032014
-0.8235889999999999,1.665238,0.030969
-0.8223459999999999,1.671296,0.0298519999999999
-0.820867,1.676713,0.0286839999999999
-0.819167,1.681531,0.027482
-0.81726,1.6857970000000002,0.026262
-0.8151649999999999,1.689555,0.025037
-0.812898,1.6928439999999998,0.023819
-0.810473,1.695703,0.022615
-0.807905,1.698166,0.021429
-0.80521,1.700263,0.020259
-0.802399,1.702022,0.019103
-0.799484,1.7034669999999998,0.017961
-0.796477,1.704622,0.016833
-0.793387,1.7055049999999998,0.015722
-0.790223,1.7061380000000002,0.014631
-0.786992,1.706536,0.013562
-0.7837,1.706718,0.012518
-0.780354,1.706698,0.011504
-0.776958,1.706491,0.0105209999999999
-0.773518,1.7061110000000002,0.009571
-0.770038,1.705569,0.0086579999999999
-0.766521,1.704877,0.007781
-0.762972,1.704046,0.006942
-0.759393,1.703086,0.006143
-0.755787,1.702004,0.005383
-0.752159,1.700809,0.004663
-0.74851,1.6995080000000002,0.003982
-0.744843,1.698107,0.0033399999999999
-0.741162,1.696612,0.002737
-0.737467,1.69503,0.002172
-0.733762,1.693364,0.001644
-0.73005,1.69162,0.001152
-0.7263310000000001,1.689802,0.000695
-0.7226090000000001,1.687915,0.000272
-0.718885,1.68596,-0.000118
-0.715162,1.683944,-0.0004769999999999
-0.71144,1.68187,-0.000805
-0.707723,1.679739,-0.001104
-0.7040109999999999,1.677557,-0.001376
-0.7003060000000001,1.675326,-0.001621
-0.6966100000000001,1.67305,-0.001842
-0.692924,1.6707299999999998,-0.002038
-0.68925,1.6683709999999998,-0.0022129999999999
-0.685589,1.665974,-0.002366
-0.681942,1.663543,-0.0025
-0.6783100000000001,1.6610790000000002,-0.0026149999999999
-0.6746939999999999,1.6585869999999998,-0.0027129999999999
-0.671096,1.6560669999999995,-0.0027949999999999
-0.667516,1.653523,-0.002862
-0.663956,1.650955,-0.002915
-0.660416,1.648368,-0.002955
-0.6568970000000001,1.645762,-0.002984
-0.653401,1.643139,-0.003001
-0.649927,1.640502,-0.003008
